timepoint,BC,CH4,CO,CO2 AFOLU,CO2 FFI,HFC-125,HFC-134a,HFC-143a,HFC-152a,HFC-227ea,HFC-23,HFC-236fa,HFC-245fa,HFC-32,HFC-365mfc,HFC-4310mee,NF3,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,CF4,c-C4F8,SF6,SO2F2,CCl4,CFC-11,CFC-113,CFC-114,CFC-115,CFC-12,CH2Cl2,CH3Br,CH3CCl3,CH3Cl,CHCl3,HCFC-141b,HCFC-142b,HCFC-22,Halon-1202,Halon-1211,Halon-1301,Halon-2402,N2O,NH3,NOx,NOx aviation,OC,Sulfur,VOC
2102.5,2.2123357177,121.4882312103,351.2790589225,-2.7830743295,-5.7187504599,24.5702209867,18.1213173333,9.614968,1.5404280053,0.2840250931,0,0.084064,3.787723152,0,0.4171412067,0.0317441115,0.1498376173,0.0090773333,0.0025653333,0.0006041561,0.000246195,0.0020510576,0.0013813333,0.000592,0.9123622701,0.1062716368,0.8848426667,0.2124905067,0.2428186667,1.091944,0,0,0.0676577649,0.01184,335.0126026667,103.8526853333,0,4313.5025253333,269.7585245333,1.1843478,0.0206505663,0.0089091323,0,0.0078933333,0.0528853333,0.007992,8.3369873231,62.7066939878,46.2192013149,2.1273689885,13.0238929149,7.9806513294,61.9971794013
2103.5,2.2049900456,121.134675364,350.2806241861,-2.7250936143,-5.7187504599,24.40420598,17.998876,9.550002,1.530019708,0.2821060046,0,0.083496,3.762130428,0,0.414322685,0.0315296243,0.148825201,0.009016,0.002548,0.0006000739,0.0002445316,0.0020371991,0.001372,0.000588,0.9061976602,0.1055535852,0.878864,0.21105476,0.241178,1.084566,0,0,0.0672006178,0.01176,332.749004,103.150978,0,4284.357238,267.9358318,1.17634545,0.0205110354,0.0088489355,0,0.00784,0.052528,0.007938,8.3269722316,62.6053711007,46.0633185612,2.1129948737,12.9920087991,7.9358031396,61.8432409532
2104.5,2.1976443736,120.7811195177,349.2821894496,-2.6671128991,-5.7187504599,24.2381909733,17.8764346667,9.485036,1.5196114107,0.2801869161,0,0.082928,3.736537704,0,0.4115041633,0.031315137,0.1478127847,0.0089546667,0.0025306667,0.0005959918,0.0002428681,0.0020233406,0.0013626667,0.000584,0.9000330503,0.1048355336,0.8728853333,0.2096190133,0.2395373333,1.077188,0,0,0.0667434708,0.01168,330.4854053333,102.4492706667,0,4255.2119506667,266.1131390667,1.1683431,0.0203715046,0.0087887386,0,0.0077866667,0.0521706667,0.007884,8.3169571401,62.5040482136,45.9074358075,2.0986207589,12.9601246833,7.8909549498,61.6893025051
2105.5,2.1902987015,120.4275636714,348.2837547132,-2.6091321839,-5.7187504599,24.0721759667,17.7539933333,9.42007,1.5092031133,0.2782678277,0,0.08236,3.71094498,0,0.4086856417,0.0311006498,0.1468003683,0.0088933333,0.0025133333,0.0005919097,0.0002412046,0.0020094821,0.0013533333,0.00058,0.8938684403,0.104117482,0.8669066667,0.2081832667,0.2378966667,1.06981,0,0,0.0662863237,0.0116,328.2218066667,101.7475633333,0,4226.0666633333,264.2904463333,1.16034075,0.0202319737,0.0087285418,0,0.0077333333,0.0518133333,0.00783,8.3069420486,62.4027253264,45.7515530538,2.0842466441,12.9282405675,7.84610676,61.535364057
2106.5,2.1829530295,120.0740078251,347.2853199767,-2.5511514687,-5.7187504599,23.90616096,17.631552,9.355104,1.498794816,0.2763487392,0,0.081792,3.685352256,0,0.40586712,0.0308861626,0.145787952,0.008832,0.002496,0.0005878275,0.0002395411,0.0019956236,0.001344,0.000576,0.8877038304,0.1033994304,0.860928,0.20674752,0.236256,1.062432,0,0,0.0658291766,0.01152,325.958208,101.045856,0,4196.921376,262.4677536,1.1523384,0.0200924429,0.008668345,0,0.00768,0.051456,0.007776,8.2969269571,62.3014024393,45.5956703001,2.0698725293,12.8963564518,7.8012585702,61.3814256089
2107.5,2.1756073574,119.7204519788,346.2868852402,-2.4931707535,-5.7187504599,23.7401459533,17.5091106667,9.290138,1.4883865187,0.2744296507,0,0.081224,3.659759532,0,0.4030485983,0.0306716753,0.1447755357,0.0087706667,0.0024786667,0.0005837454,0.0002378776,0.0019817651,0.0013346667,0.000572,0.8815392205,0.1026813788,0.8549493333,0.2053117733,0.2346153333,1.055054,0,0,0.0653720296,0.01144,323.6946093333,100.3441486667,0,4167.7760886667,260.6450608667,1.14433605,0.019952912,0.0086081481,0,0.0076266667,0.0510986667,0.007722,8.2869118656,62.2000795522,45.4397875464,2.0554984146,12.864472336,7.7564103804,61.2274871608
2108.5,2.1682616854,119.3668961325,345.2884505038,-2.4351900383,-5.7187504599,23.5741309467,17.3866693333,9.225172,1.4779782213,0.2725105623,0,0.080656,3.634166808,0,0.4002300767,0.0304571881,0.1437631193,0.0087093333,0.0024613333,0.0005796632,0.0002362142,0.0019679066,0.0013253333,0.000568,0.8753746105,0.1019633272,0.8489706667,0.2038760267,0.2329746667,1.047676,0,0,0.0649148825,0.01136,321.4310106667,99.6424413333,0,4138.6308013333,258.8223681333,1.1363337,0.0198133812,0.0085479513,0,0.0075733333,0.0507413333,0.007668,8.2768967741,62.098756665,45.2839047927,2.0411242998,12.8325882202,7.7115621906,61.0735487127
2109.5,2.1609160133,119.0133402862,344.2900157673,-2.3772093231,-5.7187504599,23.40811594,17.264228,9.160206,1.467569924,0.2705914738,0,0.080088,3.608574084,0,0.397411555,0.0302427008,0.142750703,0.008648,0.002444,0.0005755811,0.0002345507,0.0019540481,0.001316,0.000564,0.8692100006,0.1012452756,0.842992,0.20244028,0.231334,1.040298,0,0,0.0644577355,0.01128,319.167412,98.940734,0,4109.485514,256.9996754,1.12833135,0.0196738503,0.0084877544,0,0.00752,0.050384,0.007614,8.2668816826,61.9974337779,45.128022039,2.026750185,12.8007041044,7.6667140008,60.9196102646
2110.5,2.1535703413,118.6597844399,343.2915810309,-2.3192286079,-5.7187504599,23.2421009333,17.1417866667,9.09524,1.4571616267,0.2686723853,0,0.07952,3.58298136,0,0.3945930333,0.0300282136,0.1417382867,0.0085866667,0.0024266667,0.000571499,0.0002328872,0.0019401896,0.0013066667,0.00056,0.8630453907,0.100527224,0.8370133333,0.2010045333,0.2296933333,1.03292,0,0,0.0640005884,0.0112,316.9038133333,98.2390266667,0,4080.3402266667,255.1769826667,1.120329,0.0195343195,0.0084275576,0,0.0074666667,0.0500266667,0.00756,8.2568665911,61.8961108908,44.9721392853,2.0123760702,12.7688199886,7.621865811,60.7656718165
2111.5,2.1462246692,118.3062285936,342.2931462944,-2.2612478927,-5.7187504599,23.0760859267,17.0193453333,9.030274,1.4467533293,0.2667532969,0,0.078952,3.557388636,0,0.3917745117,0.0298137264,0.1407258703,0.0085253333,0.0024093333,0.0005674168,0.0002312237,0.0019263311,0.0012973333,0.000556,0.8568807807,0.0998091724,0.8310346667,0.1995687867,0.2280526667,1.025542,0,0,0.0635434413,0.01112,314.6402146667,97.5373193333,0,4051.1949393333,253.3542899333,1.11232665,0.0193947886,0.0083673608,0,0.0074133333,0.0496693333,0.007506,8.2468514996,61.7947880037,44.8162565316,1.9980019554,12.7369358728,7.5770176212,60.6117333685
2112.5,2.1388789971,117.9526727473,341.294711558,-2.2032671775,-5.7187504599,22.91007092,16.896904,8.965308,1.436345032,0.2648342084,0,0.078384,3.531795912,0,0.38895599,0.0295992391,0.139713454,0.008464,0.002392,0.0005633347,0.0002295602,0.0019124726,0.001288,0.000552,0.8507161708,0.0990911208,0.825056,0.19813304,0.226412,1.018164,0,0,0.0630862943,0.01104,312.376616,96.835612,0,4022.049652,251.5315972,1.1043243,0.0192552578,0.0083071639,0,0.00736,0.049312,0.007452,8.2368364081,61.6934651165,44.6603737779,1.9836278406,12.705051757,7.5321694314,60.4577949204
2113.5,2.1315333251,117.599116901,340.2962768215,-2.1452864623,-5.7187504599,22.7440559133,16.7744626667,8.900342,1.4259367347,0.2629151199,0,0.077816,3.506203188,0,0.3861374683,0.0293847519,0.1387010377,0.0084026667,0.0023746667,0.0005592526,0.0002278968,0.0018986141,0.0012786667,0.000548,0.8445515609,0.0983730692,0.8190773333,0.1966972933,0.2247713333,1.010786,0,0,0.0626291472,0.01096,310.1130173333,96.1339046667,0,3992.9043646667,249.7089044667,1.09632195,0.0191157269,0.0082469671,0,0.0073066667,0.0489546667,0.007398,8.2268213166,61.5921422294,44.5044910242,1.9692537258,12.6731676412,7.4873212416,60.3038564723
2114.5,2.124187653,117.2455610547,339.297842085,-2.0873057471,-5.7187504599,22.5780409067,16.6520213333,8.835376,1.4155284373,0.2609960315,0,0.077248,3.480610464,0,0.3833189467,0.0291702646,0.1376886213,0.0083413333,0.0023573333,0.0005551704,0.0002262333,0.0018847556,0.0012693333,0.000544,0.8383869509,0.0976550176,0.8130986667,0.1952615467,0.2231306667,1.003408,0,0,0.0621720002,0.01088,307.8494186667,95.4321973333,0,3963.7590773333,247.8862117333,1.0883196,0.0189761961,0.0081867702,0,0.0072533333,0.0485973333,0.007344,8.2168062251,61.4908193423,44.3486082705,1.954879611,12.6412835254,7.4424730518,60.1499180242
2115.5,2.116841981,116.8920052083,338.2994073486,-2.0293250319,-5.7187504599,22.4120259,16.52958,8.77041,1.40512014,0.259076943,0,0.07668,3.45501774,0,0.380500425,0.0289557774,0.136676205,0.00828,0.00234,0.0005510883,0.0002245698,0.0018708971,0.00126,0.00054,0.832222341,0.096936966,0.80712,0.1938258,0.22149,0.99603,0,0,0.0617148531,0.0108,305.58582,94.73049,0,3934.61379,246.063519,1.08031725,0.0188366652,0.0081265734,0,0.0072,0.04824,0.00729,8.2067911336,61.3894964552,44.1927255168,1.9405054963,12.6093994096,7.3976248621,59.9959795761
2116.5,2.1094963089,116.538449362,337.3009726121,-1.9713443167,-5.7187504599,22.2460108933,16.4071386667,8.705444,1.3947118427,0.2571578545,0,0.076112,3.429425016,0,0.3776819033,0.0287412902,0.1356637887,0.0082186667,0.0023226667,0.0005470062,0.0002229063,0.0018570386,0.0012506667,0.000536,0.8260577311,0.0962189144,0.8011413333,0.1923900533,0.2198493333,0.988652,0,0,0.061257706,0.01072,303.3222213333,94.0287826667,0,3905.4685026667,244.2408262667,1.0723149,0.0186971343,0.0080663766,0,0.0071466667,0.0478826667,0.007236,8.1967760421,61.288173568,44.0368427631,1.9261313815,12.5775152938,7.3527766723,59.842041128
2117.5,2.1021506369,116.1848935157,336.3025378757,-1.9133636015,-5.7187504599,22.0799958867,16.2846973333,8.640478,1.3843035453,0.2552387661,0,0.075544,3.403832292,0,0.3748633817,0.0285268029,0.1346513723,0.0081573333,0.0023053333,0.000542924,0.0002212428,0.0018431801,0.0012413333,0.000532,0.8198931211,0.0955008628,0.7951626667,0.1909543067,0.2182086667,0.981274,0,0,0.060800559,0.01064,301.0586226667,93.3270753333,0,3876.3232153333,242.4181335333,1.06431255,0.0185576035,0.0080061797,0,0.0070933333,0.0475253333,0.007182,8.1867609506,61.1868506809,43.8809600094,1.9117572667,12.545631178,7.3079284825,59.6881026799
2118.5,2.0948049648,115.8313376694,335.3041031392,-1.8553828863,-5.7187504599,21.91398088,16.162256,8.575512,1.373895248,0.2533196776,0,0.074976,3.378239568,0,0.37204486,0.0283123157,0.133638956,0.008096,0.002288,0.0005388419,0.0002195794,0.0018293216,0.001232,0.000528,0.8137285112,0.0947828112,0.789184,0.18951856,0.216568,0.973896,0,0,0.0603434119,0.01056,298.795024,92.625368,0,3847.177928,240.5954408,1.0563102,0.0184180726,0.0079459829,0,0.00704,0.047168,0.007128,8.1767458591,61.0855277938,43.7250772557,1.8973831519,12.5137470623,7.2630802927,59.5341642318
2119.5,2.0874592927,115.4777818231,334.3056684028,-1.7974021711,-5.7187504599,21.7479658733,16.0398146667,8.510546,1.3634869507,0.2514005891,0,0.074408,3.352646844,0,0.3692263383,0.0280978284,0.1326265397,0.0080346667,0.0022706667,0.0005347598,0.0002179159,0.0018154632,0.0012226667,0.000524,0.8075639013,0.0940647596,0.7832053333,0.1880828133,0.2149273333,0.966518,0,0,0.0598862649,0.01048,296.5314253333,91.9236606667,0,3818.0326406667,238.7727480667,1.04830785,0.0182785418,0.007885786,0,0.0069866667,0.0468106667,0.007074,8.1667307676,60.9842049066,43.569194502,1.8830090371,12.4818629465,7.2182321029,59.3802257837
2120.5,2.0801136207,115.1242259768,333.3072336663,-1.7394214559,-5.7187504599,21.5819508667,15.9173733333,8.44558,1.3530786533,0.2494815007,0,0.07384,3.32705412,0,0.3664078167,0.0278833412,0.1316141233,0.0079733333,0.0022533333,0.0005306776,0.0002162524,0.0018016047,0.0012133333,0.00052,0.8013992913,0.093346708,0.7772266667,0.1866470667,0.2132866667,0.95914,0,0,0.0594291178,0.0104,294.2678266667,91.2219533333,0,3788.8873533333,236.9500553333,1.0403055,0.0181390109,0.0078255892,0,0.0069333333,0.0464533333,0.00702,8.1567156761,60.8828820195,43.4133117483,1.8686349223,12.4499788307,7.1733839131,59.2262873356
2121.5,2.0727679486,114.7706701305,332.3087989299,-1.6814407407,-5.7187504599,21.41593586,15.794932,8.380614,1.342670356,0.2475624122,0,0.073272,3.301461396,0,0.363589295,0.027668854,0.130601707,0.007912,0.002236,0.0005265955,0.0002145889,0.0017877462,0.001204,0.000516,0.7952346814,0.0926286564,0.771248,0.18521132,0.211646,0.951762,0,0,0.0589719707,0.01032,292.004228,90.520246,0,3759.742066,235.1273626,1.03230315,0.0179994801,0.0077653924,0,0.00688,0.046096,0.006966,8.1467005846,60.7815591324,43.2574289946,1.8542608075,12.4180947149,7.1285357233,59.0723488875
2122.5,2.0654222766,114.4171142842,331.3103641934,-1.6234600255,-5.7187504599,21.2499208533,15.6724906667,8.315648,1.3322620587,0.2456433237,0,0.072704,3.275868672,0,0.3607707733,0.0274543667,0.1295892907,0.0078506667,0.0022186667,0.0005225133,0.0002129254,0.0017738877,0.0011946667,0.000512,0.7890700715,0.0919106048,0.7652693333,0.1837755733,0.2100053333,0.944384,0,0,0.0585148237,0.01024,289.7406293333,89.8185386667,0,3730.5967786667,233.3046698667,1.0243008,0.0178599492,0.0077051955,0,0.0068266667,0.0457386667,0.006912,8.1366854931,60.6802362453,43.1015462409,1.8398866928,12.3862105991,7.0836875335,58.9184104394
2123.5,2.0580766045,114.0635584379,330.3119294569,-1.5654793103,-5.7187504599,21.0839058467,15.5500493333,8.250682,1.3218537613,0.2437242353,0,0.072136,3.250275948,0,0.3579522517,0.0272398795,0.1285768743,0.0077893333,0.0022013333,0.0005184312,0.000211262,0.0017600292,0.0011853333,0.000508,0.7829054615,0.0911925532,0.7592906667,0.1823398267,0.2083646667,0.937006,0,0,0.0580576766,0.01016,287.4770306667,89.1168313333,0,3701.4514913333,231.4819771333,1.01629845,0.0177204184,0.0076449987,0,0.0067733333,0.0453813333,0.006858,8.1266704016,60.5789133581,42.9456634872,1.825512578,12.3543264833,7.0388393437,58.7644719913
2124.5,2.0507309325,113.7100025916,329.3134947205,-1.5074985951,-5.7187504599,20.91789084,15.427608,8.185716,1.311445464,0.2418051468,0,0.071568,3.224683224,0,0.35513373,0.0270253922,0.127564458,0.007728,0.002184,0.0005143491,0.0002095985,0.0017461707,0.001176,0.000504,0.7767408516,0.0904745016,0.753312,0.18090408,0.206724,0.929628,0,0,0.0576005296,0.01008,285.213432,88.415124,0,3672.306204,229.6592844,1.0082961,0.0175808875,0.0075848018,0,0.00672,0.045024,0.006804,8.1166553101,60.477590471,42.7897807335,1.8111384632,12.3224423675,6.9939911539,58.6105335432
