timebound,solar,volcanic
1750,0.1022150391,0.2463910075
1751,0.0978000732,0.24641247
1752,0.0794537842,0.2464196812
1753,0.0493758545,0.2464221032
1754,0.0131980957,0.246422921
1755,-0.0212167969,-0.1167286836
1756,-0.0456941162,-0.0044965501
1757,-0.053276001,0.1562750429
1758,-0.034134082,0.2158749963
1759,0.0172230469,0.2361496875
1760,0.0677221436,0.2429717505
1761,0.0926050781,0.2452638878
1762,0.0864584473,0.2460338601
1763,0.0643680176,-0.890820615
1764,0.0310295654,-0.5395121361
1765,-0.005725415,-0.0359522733
1766,-0.0355693359,0.1507352044
1767,-0.0496878662,0.214242681
1768,-0.0365053711,-0.3132902266
1769,0.0196567383,-0.1364722715
1770,0.0858032227,0.1089447639
1771,0.1174724121,0.1998399031
1772,0.1099217285,0.2307571246
1773,0.0869888672,0.2411600544
1774,0.0510451172,0.2446553102
1775,0.0102963867,0.2458294363
1776,-0.0254289551,0.2462238378
1777,-0.0465833496,0.2463563195
1778,-0.0427768066,0.2464008215
1779,0.0018564697,0.2464157667
1780,0.0732603516,0.2464207871
1781,0.1160371582,0.2464224701
1782,0.1158811523,0.2464230326
1783,0.09159104,0.2464232295
1784,0.0547268555,-2.0611524538
1785,0.0112012207,-1.3499451536
1786,-0.0254913574,-0.3271061433
1787,-0.0447892822,0.0520726791
1788,-0.0310919678,0.1810616709
1789,0.0375194092,0.2244641131
1790,0.1176596191,0.2390468296
1791,0.1448358398,0.2439454788
1792,0.1307329102,0.2455909914
1793,0.1125582275,0.2461437297
1794,0.0817782715,0.2463294057
1795,0.0459125244,0.2463917793
1796,0.0080187012,0.0251823128
1797,-0.0258501709,0.093560599
1798,-0.0508891113,0.1915042212
1799,-0.0631199707,0.2278130192
1800,-0.0605926758,0.2401645355
1801,-0.042386792,0.2443205995
1802,-0.0125116699,0.2457169847
1803,0.0156317871,0.246186063
1804,0.0327924316,0.2463436281
1805,0.0350701172,0.2463965595
1806,0.0265209961,0.2464143387
1807,0.0120436523,0.2464203048
1808,-0.0080031006,0.2464223101
1809,-0.0296567139,0.246422982
1810,-0.0491730469,-3.2831932421
1811,-0.0625895508,-2.2122185784
1812,-0.0672853271,-0.6369268283
1813,-0.0620123291,-0.0529159596
1814,-0.0463337402,0.1457532477
1815,-0.0254289551,0.2126017681
1816,-0.0064586426,-6.4557588646
1817,0.0051481934,-4.7502341038
1818,0.006895459,-1.5605221252
1819,-0.000452417,-0.3662101581
1820,-0.0138533203,0.0403756675
1821,-0.0311699707,0.1771979805
1822,-0.0477689941,0.2231692423
1823,-0.059188623,-0.0159504444
1824,-0.0615911133,0.0678712399
1825,-0.0499686768,0.182334458
1826,-0.0200311523,0.2247082747
1827,0.0133541016,0.2391205049
1828,0.037753418,0.2439698484
1829,0.0451636963,0.2455991617
1830,0.036130957,0.2461464781
1831,0.0163962158,0.2463303338
1832,-0.0101559814,-3.3428339087
1833,-0.0352729248,-2.3130540169
1834,-0.0508423096,-0.6731924624
1835,-0.0482994141,-0.0652062484
1836,-0.0149453613,-1.0268141928
1837,0.0440716553,-0.5963156946
1838,0.0880029053,-0.0555369493
1839,0.0998281494,0.1441335498
1840,0.0861464355,0.2120240771
1841,0.063712793,0.2348664762
1842,0.0309203613,0.2425411631
1843,-0.0039313477,0.2451192599
1844,-0.0342588867,0.2459852751
1845,-0.0527923828,-0.0563503501
1846,-0.0540404297,0.0372741265
1847,-0.041669165,0.1712831884
1848,-0.0293291016,0.2209608171
1849,-0.0169578369,0.2378600859
1850,-0.0045865723,0.2435463848
1851,0.0077551154,0.245486068
1852,0.0022831992,0.2458425229
1853,0.0015031548,0.2384931706
1854,-0.008608617,0.2460232293
1855,-0.0224837782,0.2466493615
1856,-0.0310761535,-0.1737114458
1857,-0.0334938613,-0.0383046033
1858,-0.0274425847,0.146673648
1859,-0.0105823262,0.2137042741
1860,0.0036770795,0.2360166856
1861,0.0142552272,0.2433782007
1862,0.0121377688,0.1183075707
1863,-0.0001130508,0.0942383564
1864,-0.0072900897,-0.692119028
1865,-0.0143651559,-0.3628009834
1866,-0.0200236299,0.0383464636
1867,-0.0229106358,0.1784446682
1868,-0.0273217549,0.2247318747
1869,-0.0175145988,0.2398717841
1870,0.0003080795,0.2448160719
1871,0.0017117476,0.2464303694
1872,0.0125017112,0.2469560199
1873,0.0067810973,0.2409156571
1874,-0.0028748247,0.1332370948
1875,-0.0112237026,0.2406238955
1876,-0.0268640808,0.2471623298
1877,-0.0340416294,0.2191542759
1878,-0.0385858909,0.2284429656
1879,-0.0444149964,0.2406464205
1880,-0.0431331839,0.2422421543
1881,-0.0291447504,0.1941948871
1882,-0.0097652829,0.1929414276
1883,-0.0139293999,0.2438669648
1884,-0.0169046667,-0.2772184652
1885,0.0063035745,-1.8479690877
1886,-0.0081476518,-0.7596845923
1887,-0.0245890879,-0.1576062547
1888,-0.0347705005,-0.0033857995
1889,-0.0387345499,0.1810866267
1890,-0.0401536429,0.2379160075
1891,-0.0366692841,0.0735332451
1892,-0.0111805339,-0.0756281998
1893,0.0096871966,-0.0373445155
1894,0.026166585,0.1507103198
1895,0.0459833468,0.2157740306
1896,0.0272037461,0.2366809402
1897,0.0015728033,0.2426375601
1898,-0.0148354306,0.2441568702
1899,-0.022544941,0.2444019302
1900,-0.0317603995,0.2442873474
1901,-0.0371049465,0.2440696022
1902,-0.0461723917,0.2438473776
1903,-0.0440206649,0.0078887326
1904,-0.0255934237,-0.7005588721
1905,0.0076509365,-0.2457716797
1906,-0.007035736,0.1207768282
1907,0.0169895082,0.2256785587
1908,0.0039974258,0.0634446858
1909,0.0121031988,0.176417571
1910,-0.0047131293,0.2420368715
1911,-0.0171210661,0.2417920454
1912,-0.0351647038,0.2415430948
1913,-0.0420706883,-0.3409978869
1914,-0.0405399818,-0.2489603434
1915,-0.0267759909,0.0525216518
1916,0.0129607531,0.2145135719
1917,0.0449509998,0.2398327877
1918,0.0660889545,0.2399610449
1919,0.0698720325,0.2396852647
1920,0.0372158602,0.2394033794
1921,0.0062470969,0.239117427
1922,-0.0129360059,0.2388273387
1923,-0.030427682,0.0998493089
1924,-0.034474303,0.1641370042
1925,-0.0267142558,0.2379323745
1926,-0.0055766752,0.2376257985
1927,0.0227601436,0.2373151548
1928,0.0464678625,0.2370003551
1929,0.0309290141,0.1982873347
1930,0.0229658149,0.0096175965
1931,0.023177128,0.2360313206
1932,0.0009754427,0.2357000869
1933,-0.0155620533,0.0501376147
1934,-0.0225051916,0.1969343492
1935,-0.0147549914,0.2346816647
1936,0.0118072073,0.2343339787
1937,0.0694911051,0.2339821631
1938,0.0727165963,0.2336262383
1939,0.0622981831,0.2332661892
1940,0.0593962604,0.2329020325
1941,0.0399915906,0.2325337569
1942,0.0242341639,0.232161381
1943,0.0057911512,0.2317848567
1944,-0.0128553957,0.2314042374
